@relation ../streams/gen/stream_gen_20k_0.20_10_f5_normal.arff

@attribute Feature0 numeric 
@attribute Feature1 numeric 
@attribute Feature2 numeric 
@attribute Feature3 numeric 
@attribute Feature4 numeric 
@attribute class {positive,negative} 

@data
28.91715516251119,22.357262812203672,45.366941222826846,32.08293092088952,38.64449511946345,negative
20.853725647537292,30.369213946926134,43.3126678671488,41.55333559240629,39.53281381728579,negative
28.846772168795862,20.188452174718037,55.77413625637316,37.78752646676846,38.95801707848507,negative
24.10481726058792,24.594850785650184,41.112154396472015,40.733669187053444,33.353086302203664,negative
17.962204253484884,28.406035283254152,49.133686408188325,42.704573310394515,30.384315168074785,negative
28.899307000730005,31.3326462484777,53.33999912725282,42.08920684936133,28.04709932550744,negative
13.742576837384654,23.879990737245127,40.09454212724025,42.69923734371754,39.887047023646225,negative
17.254322472202972,32.289752571854756,51.01814430627256,35.90889319328246,37.0281866745703,negative
23.255047660271217,34.072653042469305,51.857655775309766,37.624934763790684,37.57483820747196,negative
25.837780197262465,22.315199263318252,54.60594726509525,44.219764131763576,44.95682769376742,negative
27.234834515325243,40.07258247677342,50.632079551615846,4.256836264766644,5.0088367557428235,positive
27.077420066583898,29.71565878473877,54.21114729202688,49.80644614035474,31.45851072496389,negative
20.972954984419456,25.86586274914204,55.765023138587786,43.87247130077666,34.170336099101576,negative
31.31198632567838,21.27272291880352,38.39204917977618,8.375713292572978,15.30335648413359,positive
23.08350466618267,33.811526858532694,48.659379967830255,40.35497494718541,40.5655900600153,negative
20.495243473440695,27.248902960107635,51.67708476075842,42.59803627170184,39.57325055013455,negative
30.999431635416425,29.942578332027175,47.815612230486536,20.21547560174753,14.528153763133508,positive
26.290855294057703,26.077608541032625,49.034868580965345,48.33708500972552,36.24584802297356,negative
26.57968418888332,30.003278028353563,50.130710635984585,16.370242014276606,12.981581515560105,positive
28.187263120217285,25.5382114699366,38.963401427430185,50.571416564744965,43.828914766234405,negative
14.2146288512575,32.00062523227535,46.30170200295446,14.71841008384202,16.456191162052434,positive
30.354849186984172,33.44703758112633,47.78120743895956,22.458610356098045,9.313666806673684,positive
23.17566915944155,26.723571136297938,52.279183844313955,43.85017193950236,41.768070509560744,negative
31.012434779554162,30.68471717380185,50.03394523637289,35.88283984341311,35.64769601499956,negative
26.624136172290306,31.182071525332223,44.056076573551564,9.997031561058677,11.138539901231848,positive
22.59318347855353,21.970295483172833,48.993871064977895,43.55065497059779,33.956227096315814,negative
24.518314737200093,37.4193843804726,49.18444892718916,46.68269389043934,29.574906276646153,negative
17.817529945267527,23.079562892992577,48.98815867290965,46.63994153550458,33.25993599569351,negative
17.596843307577668,27.172598965991618,41.4860655753703,43.96616566482471,29.29448667565934,negative
22.35525796442806,25.77416823840983,49.179025915218716,32.249273791124985,32.6780437397597,negative
20.5557801826583,30.351716343219106,47.318827101604676,44.896200913922,38.03645559075002,negative
20.102032542824965,21.61900368046701,45.29273082434314,40.07731753433726,32.94795150416289,negative
24.710687728556493,31.149886450339103,45.52369679276452,45.33666060230408,32.119903594976144,negative
20.716005510477515,27.74548787533866,51.497864108416266,48.12982044409752,38.001038912400716,negative
21.95903247745442,31.84275875685281,42.38517363582184,39.73117499103569,28.878756041246234,negative
26.749923035746413,18.456759598919405,51.53047843460755,36.07997157707269,31.55565492585777,negative
22.126629490595597,29.466597965046564,47.07162010665438,36.248337712206954,35.78298563724286,negative
12.079510324882106,29.742538539794406,45.57668140764579,35.1122813007636,35.36341026414737,negative
25.83326791098447,31.305815720757188,42.14715805323583,3.564684227726679,12.22676129153253,positive
16.910653993792994,27.86664467815463,46.33859005370208,38.129534161284525,33.972845372856035,negative
26.791008978521084,24.420093695603246,48.30021765041903,40.05383299104543,33.8051960242903,negative
30.643840614411943,36.391770940817835,55.14617559933901,40.93095774142966,33.72331379624259,negative
21.958806564112955,31.717556354396695,45.82649019993246,55.17976356499489,45.40951001556866,negative
27.842840429615325,33.23982225567092,44.38754166491443,36.181329824661844,29.752706278484112,negative
24.0543763879372,31.28805035444947,50.59149006349405,38.685866876937055,32.70017066078512,negative
15.655456057119968,31.594457363604796,48.443032532398824,37.69273194442857,40.12919733549624,negative
26.21844809522138,24.625948831406834,46.95713431816568,44.193513169705696,39.11952805557962,negative
11.691518641737488,22.866843134469654,52.38865255179304,44.09255259867693,33.51903762828005,negative
32.16692384112386,30.91704938791357,43.631707795922104,34.17796206839202,32.81980589354487,negative
23.561646142052325,37.66371985779092,46.09149249850692,46.67504704449988,38.4611641282192,negative
18.808241659058865,29.933205013989767,51.909842296680466,41.85634223497535,33.75931101543053,negative
14.488680342755087,25.419030524020233,45.07917650176951,47.24182413784066,45.61268787027594,negative
35.2227829399936,25.286630185575607,52.556058501447694,35.44837976853936,38.052612686238895,negative
32.11568941726364,33.121396462924906,48.77474182118003,3.466211362874498,14.188769255293078,positive
23.56334118975094,25.98950621864064,43.15792295994639,38.87224522647312,34.11860962314328,negative
28.188905510051704,29.27415638951423,49.0053101781204,39.76286044932399,26.609243807643164,negative
5.139715824992514,33.7279391719689,44.53451180674899,31.150349865178413,43.950807707123985,negative
14.989783140930419,29.316150760182335,53.91814380387324,39.936805660657946,34.34928528843019,negative
25.916974915930776,26.41087646447447,38.90822351948107,43.90137663529511,42.3697391076922,negative
19.44084686973887,30.03199670735295,51.60589852662302,41.54893487906363,32.699380231820804,negative
27.792034331623753,30.177692060602983,40.84281444841439,6.233712307601477,14.424905580151878,positive
24.212550470435044,30.17477075507533,55.9400010606973,39.912850210886184,43.50097635251104,negative
27.66300662957582,30.340645879630426,51.064718835350405,44.41412818079401,37.70024898212767,negative
19.10918648517669,31.32730207621683,46.770857576642044,33.78032635125361,42.17938534861029,negative
13.331278697069017,30.513150792870913,52.4929129598782,32.740083303598745,33.128244518543724,negative
27.188711291786746,25.082304361973375,46.63457399623536,48.844104235723066,43.3130585825473,negative
22.240573827565402,28.150124729701123,50.186038328643725,11.518771569420021,21.432669701352197,positive
15.623896829179916,26.630028235627115,45.53825050468532,38.995939801158485,37.83315787750888,negative
19.86117492999305,27.58976064141746,48.3115752499179,50.8017705433614,30.124778700404228,negative
25.554226630323296,33.160418182064525,59.829747333493984,39.64463801345837,30.805921165756338,negative
31.364281613722664,26.971622298907942,59.9202954519183,44.689909427586954,37.29976873260502,negative
17.383362816964983,25.972116649959613,45.006923829400826,33.96732280213014,38.52133647773103,negative
33.115721983444736,32.3052718002825,42.6158031158814,11.536407904524474,11.820017990751692,positive
32.74346672604278,29.146239292391304,55.672682763386,49.25132867379864,40.535359070873945,negative
