@relation ../streams/gen/stream_gen_20k_0.40_30_f10_normal.arff

@attribute Feature0 numeric 
@attribute Feature1 numeric 
@attribute Feature2 numeric 
@attribute Feature3 numeric 
@attribute Feature4 numeric 
@attribute Feature5 numeric 
@attribute Feature6 numeric 
@attribute Feature7 numeric 
@attribute Feature8 numeric 
@attribute Feature9 numeric 
@attribute class {positive,negative} 

@data
14.477327092421355,16.02068907560636,29.58885602332515,27.931215540515524,39.683185872906094,43.33201960816628,32.73440138073191,10.70560555152871,33.78355942285441,6.201505471805449,negative
11.95094267165431,10.36370365952564,25.776370989571106,56.05615947702936,36.44541688740574,54.497238413941425,30.572991486200053,20.374829377028398,33.31884159320599,0.8998019068376291,negative
16.979727627548517,8.753547019762568,24.724889936947946,30.208909084600787,42.84605660945836,47.79240098052566,25.300630390835703,8.717013235767798,24.28526839965672,-13.720805309891325,negative
53.068910750350504,44.00872399452571,44.37190761674668,45.5901938111151,-4.933258511314609,25.45499641751074,58.41525966970795,20.903587514242243,17.674391643950266,5.108352984642984,positive
38.574833953985426,52.303908627031944,61.83840493162296,28.800659753620387,30.173278724939298,15.376108549751324,38.549257155851976,13.107977800746449,4.939621167103311,35.03923938545032,positive
45.55112940282085,16.670533616305008,29.607157356715057,43.19281663725603,57.64405644187531,56.43631282609631,21.633817032292868,30.151707042295598,30.349918893530454,-1.3185106927755585,negative
22.672391490305753,5.386274974022225,26.976629454863314,40.76737021405163,31.230970672289118,64.74160266022571,8.92096189490913,13.554063852757938,49.27194075452863,24.18402507981158,negative
49.94086384691824,40.73792434884427,57.41662084992189,32.14883401480079,23.823563223131984,12.52906252796417,26.360429040007325,4.4389986957889125,26.739636836867668,23.54280607011563,positive
24.80997101142311,19.419697795114747,41.48785291179746,29.70677406429867,52.77614867537267,63.27751531800972,26.733104628028336,19.606167058466678,18.40380630936205,6.575477272204682,negative
15.147420187777106,21.444618301645715,40.62811409927575,25.379215780024026,38.58461655034429,57.3990854617911,26.55102229909042,14.538466841738307,29.58252989033767,-1.2461414402512236,negative
65.76372855378456,24.779427436419212,52.19384604518106,35.180427768433425,14.430747214199785,12.279967306953418,12.335586893806298,22.809453964266453,18.573264184040468,21.125609296521958,positive
42.03331285556727,44.37378653234339,46.93632099581909,47.74118385776272,18.01611314875871,32.38404410335244,39.6983928123233,13.208249747674278,-7.58886947113491,37.804891637579644,positive
51.452881522952886,50.01041934549915,45.840135777152796,40.27713507914065,18.616633236490472,21.27981359040663,28.243068292935853,3.0531863891439635,-0.0034184630895062185,18.86963060065768,positive
39.636310051349156,30.371680856194956,51.47956482202902,39.3019231912696,-5.5658283678864,22.719525839861998,30.657067870750126,22.455880831482766,16.00552594994476,26.361992848006974,positive
49.6190456843337,46.7193109488873,41.81745480666609,33.84423970521608,20.931012067029307,21.361161927459772,28.65645458119031,15.140313553613444,22.24539342381462,10.070668953438782,positive
25.87535478481127,23.666402251822355,39.73307722904643,51.0883082288164,45.7910147075966,48.07226485057323,31.124051010788893,18.964918450251403,32.20998632175866,-3.342532753766566,negative
18.72488100032423,1.0835852990612445,32.70049433041322,54.4351701918324,41.58093950063568,49.43152813727262,29.662770964067843,11.895803305953233,34.56840463201579,3.2037803607488273,negative
25.28151057920229,28.164112169624737,48.79206520798107,49.345929438005285,42.38921527825253,49.25443954649606,26.046751702642545,5.475255227831888,37.63066116323642,4.928163657115457,negative
24.486637782915412,20.797392056319442,35.49038956542071,43.762279032112026,25.334923633178875,69.73498362032899,26.119203182797058,15.243084488574727,35.717520508777405,1.4434022114329004,negative
34.21323374540215,17.901606562569278,35.463192014507456,43.93931491599192,23.935359023733255,41.947994677622084,29.761996461417784,13.959532361357706,45.083005036472514,3.423307424324277,negative
20.40221055574062,20.123990954133834,23.126561047230265,56.92579924382227,33.56403663269464,48.94684284585365,24.629880990306226,-1.4216129040225312,31.19895507306817,9.114266061482382,negative
21.140620170845985,17.28523605251447,49.574846874849555,38.81829074496761,24.76393412432243,47.432132706382234,38.27943692497638,15.46303157125999,30.77160519616023,11.628538898524628,negative
24.08364822634107,8.070512501627475,38.27327640417013,47.21448277598343,48.87150266272436,51.61386556892864,15.226002764074453,6.210738742326796,26.236684482453867,3.829330095765458,negative
4.945024631483369,19.247237440028904,28.95150420745927,45.205961793424706,37.37714161673255,43.80764849906641,29.185679174633158,16.966191685647214,32.22429914013286,19.63958913291332,negative
15.09769282022176,-6.046406391624835,28.6689620182404,52.99986215745933,38.169152407384125,62.49143639028226,16.031044679072465,21.682963005317657,34.01413044581103,15.637111588367798,negative
40.21101536773389,33.29939029004643,54.56640384435603,35.30176244590414,10.708911557192348,-5.272602249183301,34.792024229317796,22.822577782443673,10.210235736287071,11.620222024093163,positive
28.74381809599749,23.164050740787076,20.746183326864728,31.4907477712739,21.39669339077587,43.68835165133514,28.23377139428186,14.006996809809444,43.440349100833686,13.912109764131134,negative
4.805839991578516,25.95532992192036,45.94659455502794,39.88987506142067,47.08451985241834,47.556587007658614,38.84139484430969,-2.372707111746637,37.18975453778916,1.9563917485725664,negative
55.98625309479176,32.79618357417329,50.23339767121415,39.32830064079849,17.71674517010898,12.029963534799766,36.31545189932447,13.503680623395432,19.663400757945027,6.381753201963324,positive
27.8723547008345,27.06754795412114,52.30052153027263,39.92446336263271,25.050929281119245,62.00608162517811,17.20801114043608,23.632208080289704,24.628713869004166,14.62326148595551,negative
25.732437849259924,13.440266044381051,43.528874558620906,33.90209858189128,34.157116819458864,58.4752427080901,36.537679847348045,3.588073822811362,39.71259458411241,4.485084423777574,negative
56.928851645754214,40.61941316134489,33.1335121249211,42.4489229747678,8.94574200404254,3.901782580351357,34.31691084469872,6.460290518019873,15.469490234013033,11.45230090006133,positive
10.718557373642755,13.687013908523978,36.27328009560311,37.36772411061616,33.51602607166667,51.66172407183365,23.63577297393913,24.10209564533519,32.621327242031995,2.779049578894166,negative
32.67678528077932,27.277006401589595,41.89925914962187,45.94641592121416,38.64226158761802,40.82283159544369,31.70536505144267,21.901165211640453,37.221324568544766,2.792166718221301,negative
8.663952715055228,7.232048770068374,27.15900167986432,46.09641655990672,39.67669215713816,42.44386663769651,21.05265770336835,-2.148665283029427,45.75353966348785,-4.214851443326842,negative
29.274064715208375,11.715292677146639,34.30744234309845,36.20540128336213,39.461901139497485,60.08888381273149,20.898690261836013,5.012918045441076,45.58596702941691,25.093165789165454,negative
12.519574546442058,25.846183796058167,27.94046895024459,50.25086607336135,40.16450400032378,50.62490108940193,35.31965469077953,8.034407099879775,15.31267935951984,20.063754075672954,negative
31.847908670794265,26.461642803618247,44.49595405274067,24.888551359307606,38.10873132574522,54.96208396027696,33.15718572949829,24.47119126499109,31.798233029997633,13.115777849598384,negative
34.668393127361924,53.739712748289044,39.13243578840753,32.35702376455922,16.821364770735343,12.98765666150911,46.64285776504336,8.620772676658532,9.92475961017647,10.46620833589182,positive
43.88897569480079,18.395854169654587,36.9904322208054,34.25791044136036,28.864489657089933,51.25194046438424,40.59474485589352,8.215482856088986,36.09108944521626,13.581587337529417,negative
26.55852165070948,28.967902227653614,38.23438980470233,41.34281511702917,15.006904545511848,58.1481605688168,40.41482173700822,5.790977791565728,36.70950654361155,14.515619618631856,negative
34.19594681412724,20.081644410578566,39.23917382122997,34.18957843127172,32.61496350492689,55.493115738547,24.975382835842556,21.613761436795933,33.09469953097566,7.240810236539693,negative
33.55287438313633,35.6828745066365,51.92376298859804,35.05307865703115,14.054741534420172,10.382449237196528,21.602702649000484,3.902296851939747,15.775041854883678,22.517471339675566,positive
53.59876584242172,32.4836282561024,40.47033185698029,38.03104090576123,17.62471210241754,15.798440748859175,43.455474664360054,29.20991858563491,6.687004871379844,25.700000923127824,positive
27.978279573214383,12.131085297252572,24.695579122727064,48.60568419461645,41.09853979958066,54.48562070743303,23.956737280221986,17.25533684542916,25.99978974112354,8.780541314771279,negative
24.70498261832989,16.471767867809795,47.36579959462609,35.943543274105494,43.31340106660943,33.019111085345095,13.71992299248216,-2.811955686646332,31.755485976573414,-0.15574241577781578,negative
